Character,Gender,Alive?,Title,Forename,Surname,Birth name,Alias,Screentime
"Ser Tygett Lannister, Tyg",male,dead,Ser,Tygett,Lannister,unknown,Tyg,1
Darlessa Marbrand,female,alive,Civilian,Darlessa,Marbrand,unknown,none,1
"Gerion Lannister, Gery",male,dead,Civilian,Gerion,Lannister,unknown,Gery,1
Joy Hill,female,alive,Civilian,Joy,Hill,unknown,none,1
Ser Stafford Lannister,male,dead,Ser,Stafford,Lannister,unknown,none,1
Cerenna Lannister,female,alive,Civilian,Cerenna,Lannister,unknown,none,1
Myrielle Lannister,female,alive,Civilian,Myrielle,Lannister,unknown,none,1
Ser Daven Lannister,male,alive,Ser,Daven,Lannister,unknown,none,1
Maester Creylen,male,alive,Maester,Creylen,unknown,unknown,none,1
Lady Jeyne Arryn (Royce),female,dead,Lord / Lady,Jeyne,Arryn,Royce,none,1
Lady Rowena Arryn,female,dead,Lord / Lady,Rowena,Arryn,unknown,none,1
"King Harwyn Hoare, Hardhand",male,dead,King / Queen,Harwyn,Hoare,unknown,Hardhand,1
"King Arrec Durrandon, The Storm King",male,dead,King / Queen,Arrec,Durrandon,unknown,The Storm King,1
Edmyn Tully,male,dead,Civilian,Edmyn,Tully,unknown,none,1
Lady Minisa Tully (Whent),female,dead,Lord / Lady,Minisa,Tully,Whent,none,1
Ser Desmond Grell,male,alive,Ser,Desmond,Grell,unknown,none,1
Robin Ryger,male,alive,Civilian,Robin,Ryger,unknown,none,1
Utherydes Wayn,male,alive,Civilian,Utherydes,Wayn,unknown,none,1
"King Garth Gardener, Greenhand",male,dead,King / Queen,Garth,Gardener,unknown,Greenhand,1
Lord Harlen Tyrell,male,dead,Lord / Lady,Harlen,Tyrell,unknown,none,1
Lady Alerie Tyrell (Hightower),female,alive,Lord / Lady,Alerie,Tyrell,Hightower,none,1
Willas Tyrell,male,alive,Civilian,Willas,Tyrell,unknown,none,1
"Ser Garlan Tyrell, The Gallant",male,alive,Ser,Garlan,Tyrell,unknown,The Gallant,1
"Lady Olenna Tyrell (Redwyne), Queen of Thorns",female,alive,Lord / Lady,Olenna,Tyrell,Redwyne,Queen of Thorns,1
Lady Mina Redwyne (Tyrell),female,alive,Lord / Lady,Mina,Redwyne,Tyrell,none,1
Lord Paxter Redwyne,male,alive,Lord / Lady,Paxter,Redwyne,unknown,none,1
Lady Janna Fossoway (Tyrell),female,alive,Lord / Lady,Janna,Fossoway,Tyrell,none,1
"Garth Tyrell, The Gross",male,dead,Civilian,Garth,Tyrell,unknown,The Gross,1
Garse Flowers,male,alive,Civilian,Garse,Flowers,unknown,none,1
Garrett Flowers,male,alive,Civilian,Garrett,Flowers,unknown,none,1
Ser Moryn Tyrell,male,alive,Ser,Moryn,Tyrell,unknown,none,1
Maester Gormon (Tyrell),male,alive,Maester,Gormon,unknown,Tyrell,none,1
Maester Lomys,male,alive,Maester,Lomys,unknown,unknown,none,1
Ser Vortimer Crane,male,alive,Ser,Vortimer,Crane,unknown,none,1
Desmera Redwyne,female,alive,Civilian,Desmera,Redwyne,unknown,none,1
Lady Arwyn Oakheart,female,alive,Lord / Lady,Arwyn,Oakheart,unknown,none,1
Lord Leyton Hightower,male,alive,Lord / Lady,Leyton,Hightower,unknown,none,1
Ser Jon Fossoway,male,alive,Ser,Jon,Fossoway,unknown,none,1
The Grey King,male,dead,Civilian,unknown,unknown,unknown,The Grey King,1
"King Urron Greyiron, Redhand",male,dead,King / Queen,Urron,Greyiron,unknown,Redhand,1
King Qhored Hoare,male,dead,King / Queen,Qhored,Hoare,unknown,none,1
Lord Vickon Greyjoy,male,dead,Lord / Lady,Vickon,Greyjoy,unknown,none,1
Lady Alannys Greyjoy (Harlaw),female,alive,Lord / Lady,Alannys,Greyjoy,Harlaw,none,1
Rodrik Greyjoy,male,dead,Civilian,Rodrik,Greyjoy,unknown,none,1
Maron Greyjoy,male,dead,Civilian,Maron,Greyjoy,unknown,none,1
Asha Greyjoy,female,alive,Civilian,Asha,Greyjoy,unknown,none,1
"Euron Greyjoy, Crow's Eye",male,alive,Civilian,Euron,Greyjoy,unknown,Crow's Eye,1
Victarion Greyjoy,male,alive,Civilian,Victarion,Greyjoy,unknown,none,1
"Aeron Greyjoy, Damphair",male,dead,Civilian,Aeron,Greyjoy,unknown,Damphair,5
Queen Nymeria,female,dead,King / Queen,Nymeria,unknown,unknown,none,0
Lord Mors Martell,male,dead,Lord / Lady,Mors,Martell,unknown,none,1
"King Daeron II Targaryen, The Good",male,dead,King / Queen,Daeron,Targaryen,unknown,The Good,1
Princess Myriah Martell,female,alive,Princess,Myriah,Martell,unknown,none,1
"Lady Mellario Martell, of Norvos",female,alive,Lord / Lady,Mellario,Martell,unknown,of Norvos,1
Princess Arianne Martell,female,alive,Princess,Arianne,Martell,unknown,none,1
Prince Quentyn Martell,male,dead,Prince,Quentyn,Martell,unknown,none,1
Prince Trystane Martell,male,alive,Prince,Trystane,Martell,unknown,none,1
"Prince Aegon Targaryen, Son of Rhaegar Targaryen",male,dead,Prince,Aegon,Targaryen,unknown,Son of Rhaegar Targaryen,1
Prince Oberyn Martell,male,dead,Prince,Oberyn,Martell,unknown,none,1
Captain Areo Hotah,male,alive,Captain,Areo,Hotah,unknown,none,1
Maester Caleotte,male,alive,Maester,Caleotte,unknown,unknown,none,1
"Lord Edric Dayne, Ned",male,dead,Lord / Lady,Edric,Dayne,unknown,Ned,1
"Visenya Targaryen, Wife of Aegon I",female,dead,Civilian,Visenya,Targaryen,unknown,Wife of Aegon I,1
"Rhaenys Targaryen, Wife of Aegon I",female,dead,Civilian,Rhaenys,Targaryen,unknown,Wife of Aegon I,1
Aenys Targaryen,male,dead,Civilian,Aenys,Targaryen,unknown,none,1
"King Jaehaerys I Targaryen, The Old King/The Conciliator",male,dead,King / Queen,Jaehaerys,Targaryen,unknown,The Old King/The Conciliator,1
King Viserys I Targaryen,male,dead,King / Queen,Viserys,Targaryen,unknown,none,1
"King Aegon II Targaryen, The Usurper",male,dead,King / Queen,Aegon,Targaryen,unknown,The Usurper,1
Rhaenyra Targaryen,female,dead,Civilian,Rhaenyra,Targaryen,unknown,none,1
"King Daeron I Targaryen, The Young Dragon/The Boy King",male,dead,King / Queen,Daeron,Targaryen,unknown,The Young Dragon/The Boy King,1
King Viserys II Targaryen,male,dead,King / Queen,Viserys,Targaryen,unknown,none,1
King Aerys I Targaryen,male,dead,King / Queen,Aerys,Targaryen,unknown,none,1
"Queen Rhaella Targaryen, Wife of Aerys II",female,dead,King / Queen,Rhaella,Targaryen,unknown,Wife of Aerys II,1
Maester Cressen,male,dead,Maester,Cressen,unknown,unknown,none,1
Maester Pylos,male,alive,Maester,Pylos,unknown,unknown,none,1
Patchface,male,alive,Civilian,Patchface,unknown,unknown,none,1
Dalla,female,alive,Civilian,Dalla,unknown,unknown,none,1
Matrice,female,alive,Civilian,Matrice,unknown,unknown,none,1
Lord Steffon Baratheon,male,dead,Lord / Lady,Steffon,Baratheon,unknown,none,1
Jommy,male,dead,Civilian,Jommy,unknown,unknown,none,1
Ser Harbert,male,dead,Ser,Harbert,unknown,unknown,none,1
"Ser Davos Seaworth, The Onion Knight",male,alive,Ser,Davos,Seaworth,unknown,The Onion Knight,110
Lord Gulian Swann,male,alive,Lord / Lady,Gulian,Swann,unknown,none,1
Salladhor Saan,male,alive,Civilian,Salladhor,Saan,unknown,none,1
"Morosh, The Myrman",male,alive,Civilian,Morosh,unknown,unknown,The Myrman,1
"Melisandre, Of Asshai/Melony",female,alive,Civilian,Melisandre,unknown,unknown,Of Asshai/Melony,1
Lord Ardrian Celtigar,male,alive,Lord / Lady,Ardrian,Celtigar,unknown,none,1
Lord Monford Velaryon,male,dead,Lord / Lady,Monford,Velaryon,unknown,none,1
Lord Duram Bar Emmon,male,alive,Lord / Lady,Duram,Bar Emmon,unknown,none,1
Ser Axell Florent,male,alive,Ser,Axell,Florent,unknown,none,1
Lord Guncer Sunglass,male,dead,Lord / Lady,Guncer,Sunglass,unknown,none,1
"Lommy, Greenhands",male,dead,Civilian,Lommy,unknown,unknown,Greenhands,1
Hot Pie,male,alive,Civilian,Hot Pie,unknown,unknown,none,1
Lollys Stokeworth,female,alive,Civilian,Lollys,Stokeworth,unknown,none,1
Falyse Stokeworth,female,dead,Civilian,Falyse,Stokeworth,unknown,none,1
Lady Ermesande Hayford,female,alive,Lord / Lady,Ermesande,Hayford,unknown,none,1
Morros Slynt,male,alive,Civilian,Morros,Slynt,unknown,none,1
Captain Vylarr,male,alive,Captain,Vylarr,unknown,unknown,none,1
"Walder Frey, Big Walder/Son of Jammos",male,alive,Civilian,Walder,Frey,unknown,Big Walder/Son of Jammos,1
"Walder Frey, Little Walder/Son of Merrett",male,dead,Civilian,Walder,Frey,unknown,Little Walder/Son of Merrett,1
Hayhead,male,dead,Civilian,Hayhead,unknown,unknown,none,1
Alebelly,male,dead,Civilian,Alebelly,unknown,unknown,none,1
Ser Jammos Frey,male,alive,Ser,Jammos,Frey,unknown,none,1
Merrett Frey,male,dead,Civilian,Merrett,Frey,unknown,none,1
"Walder Frey, Black Walder/Son of Ryman",male,alive,Civilian,Walder,Frey,unknown,Black Walder/Son of Ryman,1
"Walder Frey, Red Walder/Son of Emmon",male,alive,Civilian,Walder,Frey,unknown,Red Walder/Son of Emmon,1
"Walder Rivers, Bastard Walder",male,alive,Civilian,Walder,Rivers,unknown,Bastard Walder,1
"Waltyr Frey, Tyr",male,alive,Civilian,Waltyr,Frey,unknown,Tyr,1
Turnip,male,alive,Civilian,Turnip,unknown,unknown,none,1
Bandy,female,alive,Civilian,Bandy,unknown,unknown,none,1
Shyra,female,alive,Civilian,Shyra,unknown,unknown,none,1
"Palla, The kennel girl",female,alive,Civilian,Palla,unknown,unknown,The kennel girl,1
Calon,male,dead,Civilian,Calon,unknown,unknown,none,1
"TomToo, Son of Tomard",male,dead,Civilian,TomToo,unknown,unknown,Son of Tomard,1
Praed,male,dead,Civilian,Praed,unknown,unknown,none,1
Tarber,male,dead,Civilian,Tarber,unknown,unknown,none,1
Ser Malcolm,male,dead,Ser,Malcolm,unknown,unknown,none,1
Lync,male,dead,Civilian,Lync,unknown,unknown,none,1
Hod,male,alive,Civilian,Hod,unknown,unknown,none,1
Lord William Mooton,male,alive,Lord / Lady,William,Mooton,unknown,none,1
Jaqen H'ghar,male,alive,Civilian,Jaqen,H'ghar,unknown,none,1
Rorge,male,dead,Civilian,Rorge,unknown,unknown,none,1
Biter,male,dead,Civilian,Biter,unknown,unknown,none,1
Reysen,male,dead,Civilian,Reysen,unknown,unknown,none,1
Cutjack,male,dead,Civilian,Cutjack,unknown,unknown,none,1
Kurz,male,dead,Civilian,Kurz,unknown,unknown,none,1
Koss,male,dead,Civilian,Koss,unknown,unknown,none,1
Dobber,male,dead,Civilian,Dobber,unknown,unknown,none,1
Redwyn,male,dead,Civilian,Redwyn,unknown,unknown,none,1
King Dorren Stark,male,dead,King / Queen,Dorren,Stark,unknown,none,1
Conwy,male,alive,Civilian,Conwy,unknown,unknown,none,1
Thoren Smallwood,male,dead,Civilian,Thoren,Smallwood,unknown,none,1
Ser Arnell,male,dead,Ser,Arnell,unknown,unknown,none,1
"Prince Aerion Targaryen, Brightflame/Aerion the Monstrous",male,dead,Prince,Aerion,Targaryen,unknown,Brightflame/Aerion the Monstrous,1
Ser Burton Crakehall,male,dead,Ser,Burton,Crakehall,unknown,none,1
Hendry Bracken,male,dead,Civilian,Hendry,Bracken,unknown,none,1
Allar Deem,male,dead,Civilian,Allar,Deem,unknown,none,1
Ser Jacelyn Bywater,male,dead,Ser,Jacelyn,Bywater,unknown,none,1
Murch,male,dead,Civilian,Murch,unknown,unknown,none,1
Allard Seaworth,male,dead,Civilian,Allard,Seaworth,unknown,none,1
Dale Seaworth,male,dead,Civilian,Dale,Seaworth,unknown,none,1
Septon Barre,male,dead,Septon,Barre,unknown,unknown,none,1
Ser Hubard Rambton,male,dead,Ser,Hubard,Rambton,unknown,none,1
Maric Seaworth,male,dead,Civilian,Maric,Seaworth,unknown,none,1
Matthos Seaworth,male,dead,Civilian,Matthos,Seaworth,unknown,none,1
Devan Seaworth,male,alive,Civilian,Devan,Seaworth,unknown,none,1
Marya Seaworth,female,alive,Civilian,Marya,Seaworth,unknown,none,1
Bryen Farring,male,dead,Civilian,Bryen,Farring,unknown,none,1
Azor Ahai,male,dead,Civilian,Azor Ahai,unknown,unknown,none,1
Nissa Nissa,female,dead,Civilian,Nissa Nissa,unknown,unknown,none,1
Lady Cassana Baratheon (Estermont),female,dead,Lord / Lady,Cassana,Baratheon,Estermont,none,1
Delena Norcross (Florent),female,alive,Civilian,Delena,Norcross,Florent,none,1
Edric Storm,male,alive,Civilian,Edric,Storm,unknown,none,1
Lord Sawane Botley,male,dead,Lord / Lady,Sawane,Botley,unknown,none,1
Lord Gorold Goodbrother,male,alive,Lord / Lady,Gorold,Goodbrother,unknown,none,1
"Sylas, Sourmouth",male,dead,Civilian,Sylas,unknown,unknown,Sourmouth,1
"Dagmer, Cleftjaw",male,alive,Civilian,Dagmer,unknown,unknown,Cleftjaw,1
Helya,female,alive,Civilian,Helya,unknown,unknown,none,1
Maester Qalen,male,dead,Maester,Qalen,unknown,unknown,none,1
Maester Wendamyr,male,alive,Maester,Wendamyr,unknown,unknown,none,1
Lynesse Mormont (Hightower),female,alive,Civilian,Lynesse,Mormont,Hightower,none,1
Tregar Ormollen,male,alive,Civilian,Tregar,Ormollen,unknown,none,1
Pyat Pree,male,dead,Civilian,Pyat,Pree,unknown,none,1
Xaro Xhoan Daxos,male,alive,Civilian,Xaro,Xhoan Daxos,unknown,none,1
"Quaithe, Of the Shadow",female,alive,Civilian,Quaithe,unknown,unknown,Of the Shadow,1
"Eddison Tollett, Dolorous Edd",male,alive,Civilian,Eddison,Tollett,unknown,Dolorous Edd,1
Jarman Buckwell,male,dead,Civilian,Jarman,Buckwell,unknown,none,1
Ser Mallador Locke,male,dead,Ser,Mallador,Locke,unknown,none,1
"Bedwyck, Giant",male,alive,Civilian,Bedwyck,unknown,unknown,Giant,1
Ser Ottyn Wythers,male,dead,Ser,Ottyn,Wythers,unknown,none,1
Woth,male,dead,Civilian,Woth,unknown,unknown,none,1
Gerren,male,dead,Civilian,Gerren,unknown,unknown,none,1
Rey,male,dead,Civilian,Rey,unknown,unknown,none,1
Urreg,male,dead,Civilian,Urreg,unknown,unknown,none,1
Qyle,male,dead,Civilian,Qyle,unknown,unknown,none,1
Maester Frenken,male,alive,Maester,Frenken,unknown,unknown,none,1
Ironbelly,male,alive,Civilian,Ironbelly,unknown,unknown,none,1
"Salloreon, Master Armorer",male,dead,Civilian,Salloreon,unknown,unknown,Master Armorer,1
Alayaya,female,alive,Civilian,Alayaya,unknown,unknown,none,1
Poxy Tym,male,dead,Civilian,Poxy Tym,unknown,unknown,none,1
Lady Donella Hornwood,female,dead,Lord / Lady,Donella,Hornwood,unknown,none,1
Domeric Bolton,male,dead,Civilian,Domeric,Bolton,unknown,none,1
"Heke, Reek",male,dead,Civilian,Heke,unknown,unknown,Reek,1
"Mors Umber, Crowfood",male,alive,Civilian,Mors,Umber,unknown,Crowfood,1
"Hother Umber, Whoresbane",male,alive,Civilian,Hother,Umber,unknown,Whoresbane,1
Larence Snow,male,alive,Civilian,Larence,Snow,unknown,none,1
Leobald Tallhart,male,dead,Civilian,Leobald,Tallhart,unknown,none,1
Benfred Tallhart,male,dead,Civilian,Benfred,Tallhart,unknown,none,1
Beren Tallhart,male,alive,Civilian,Beren,Tallhart,unknown,none,1
Lord Ondrew Locke,male,alive,Lord / Lady,Ondrew,Locke,unknown,none,1
Lady Lyessa Flint,female,alive,Lord / Lady,Lyessa,Flint,unknown,none,1
Cley Cerwyn,male,dead,Civilian,Cley,Cerwyn,unknown,none,1
"Ser Tallad, The Tall",male,alive,Ser,Tallad,unknown,unknown,The Tall,1
"Wisdom Hallyne, The Pyromancer",male,alive,Wisdom,Hallyne,unknown,unknown,The Pyromancer,1
Weasel,female,dead,Civilian,Weasel,unknown,unknown,none,1
Munciter,male,alive,Civilian,Munciter,unknown,unknown,none,1
Malliard,male,alive,Civilian,Malliard,unknown,unknown,none,1
Lord Rossart,male,alive,Lord / Lady,Rossart,unknown,unknown,none,1
"Crawn, Son of Calor",male,alive,Civilian,Crawn,unknown,unknown,Son of Calor,1
Calor,male,dead,Civilian,Calor,unknown,unknown,none,1
Skittrick,male,dead,Civilian,Skittrick,unknown,unknown,none,1
Meera Reed,female,alive,Civilian,Meera,Reed,unknown,none,1
Jojen Reed,male,alive,Civilian,Jojen,Reed,unknown,none,1
Shadd,male,dead,Civilian,Shadd,unknown,unknown,none,1
"Ser Colen, Of Greenpools",male,alive,Ser,Colen,unknown,unknown,Of Greenpools,1
"Ser Ronnet Connington, Red Ronnet",male,alive,Ser,Ronnet,Connington,unknown,Red Ronnet,1
"Brienne Tarth, The Beauty/The Blue/Of Tarth",female,alive,Civilian,Brienne,Tarth,unknown,The Beauty/The Blue/Of Tarth,1
"Lord Selwyn Tarth, The Evenstar",male,alive,Lord / Lady,Selwyn,Tarth,unknown,The Evenstar,1
Lord Lorent Caswell,male,alive,Lord / Lady,Lorent,Caswell,unknown,none,1
Lucas Blackwood,male,dead,Civilian,Lucas,Blackwood,unknown,none,1
Lord Willum,male,alive,Lord / Lady,unknown,Willum,unknown,none,1
Josua Willum,male,alive,Civilian,Josua,Willum,unknown,none,1
Elyas Willum,male,alive,Civilian,Elyas,Willum,unknown,none,1
Lord Steffon Varner,male,alive,Lord / Lady,Steffon,Varner,unknown,none,1
"Ser Guyard Morrigen, The Green",male,dead,Ser,Guyard,Morrigen,unknown,The Green,1
Ser Mark Mullendore,male,alive,Ser,Mark,Mullendore,unknown,none,1
Ser Tanton Fossoway,male,alive,Ser,Tanton,Fossoway,unknown,none,1
Ser Cortnay Penrose,male,dead,Ser,Cortnay,Penrose,unknown,none,1
Craster,male,dead,Civilian,Craster,unknown,unknown,none,1
"Lark, The Sisterman",male,dead,Civilian,Lark,unknown,unknown,The Sisterman,1
Gilly,female,alive,Civilian,Gilly,unknown,unknown,none,1
Nella,female,dead,Civilian,Nella,unknown,unknown,none,1
"Bernarr, Brown Bernarr",male,dead,Civilian,Bernarr,unknown,unknown,Brown Bernarr,1
King Raymun Redbeard,male,dead,King / Queen,Raymun,Redbeard,unknown,none,1
"King Bael, The Bard",male,dead,King / Queen,Bael,unknown,unknown,The Bard,1
King Gendel,male,dead,King / Queen,Gendel,unknown,unknown,none,1
King Gorne,male,dead,King / Queen,Gorne,unknown,unknown,none,1
Joramun,male,dead,Civilian,Joramun,unknown,unknown,none,1
Esgred,female,alive,Civilian,Esgred,unknown,unknown,none,1
"Sigrin, The Shipwright",male,alive,Civilian,Sigrin,unknown,unknown,The Shipwright,1
Otter Gimpknee,male,alive,Civilian,Otter,Gimpknee,unknown,none,1
Bluetooth,male,alive,Civilian,Bluetooth,unknown,unknown,none,1
Rymolf Stormdrunk,male,alive,Civilian,Rymolf,Stormdrunk,unknown,none,1
Uller,male,alive,Civilian,Uller,unknown,unknown,none,1
"Qarl, The Maid",male,alive,Civilian,Qarl,unknown,unknown,The Maid,1
Skyte,male,alive,Civilian,Skyte,unknown,unknown,none,1
Eldiss,male,dead,Civilian,Eldiss,unknown,unknown,none,1
Wex Pyke,male,alive,Civilian,Wex,Pyke,unknown,none,1
Rolfe,male,alive,Civilian,Rolfe,unknown,unknown,none,1
Ser Donnel Locke,male,dead,Ser,Donnel,Locke,unknown,none,1
The Tickler,male,dead,Civilian,unknown,unknown,unknown,The Tickler,1
Chiswyck,male,dead,Civilian,Chiswyck,unknown,unknown,none,1
"Rafford, Raff the Sweetling",male,dead,Civilian,Rafford,unknown,unknown,Raff the Sweetling,1
Shitmouth,male,alive,Civilian,unknown,unknown,unknown,Shitmouth,1
Dunsen,male,alive,Civilian,Dunsen,unknown,unknown,none,1
Goodwife Amabel,female,dead,Goodwife,Amabel,unknown,unknown,none,1
Goodwife Harra,female,alive,Goodwife,Harra,unknown,unknown,none,1
Weese,male,dead,Civilian,Weese,unknown,unknown,none,1
"Saathos, The Wise",male,dead,Civilian,Saathos,unknown,unknown,The Wise,1
Captain Quhuru Mo,male,alive,Captain,Quhuru,Mo,unknown,none,1
Dancy,female,alive,Civilian,Dancy,unknown,unknown,none,1
Marei,female,alive,Civilian,Marei,unknown,unknown,none,1
"Pia, Pretty Pia",female,alive,Civilian,Pia,unknown,unknown,Pretty Pia,1
Ser Alyn Stackspear,male,alive,Ser,Alyn,Stackspear,unknown,none,1
"Wat, Whitesmile Wat",male,alive,Civilian,Wat,unknown,unknown,Whitesmile Wat,1
Ser Dunaver,male,alive,Ser,Dunaver,unknown,unknown,none,1
Jodge,male,alive,Civilian,Jodge,unknown,unknown,none,1
Maester Tothmure,male,dead,Maester,Tothmure,unknown,unknown,none,1
Joss Stilwood,male,alive,Civilian,Joss,Stilwood,unknown,none,1
Eggon,male,alive,Civilian,Eggon,unknown,unknown,none,1
Layna,female,alive,Civilian,Layna,unknown,unknown,none,1
Tobbot,male,alive,Civilian,Tobbot,unknown,unknown,none,1
King Durran Godsgrief,male,dead,King / Queen,Durran,Godsgrief,unknown,none,1
Elenei,female,dead,Civilian,Elenei,unknown,unknown,none,1
Ser Rupert Brax,male,dead,Ser,Rupert,Brax,unknown,none,1
Ser Lymond Vikary,male,alive,Ser,Lymond,Vikary,unknown,none,1
Lord Antario Jast,male,alive,Lord / Lady,Antario,Jast,unknown,none,1
Septon Osmynd,male,dead,Septon,Osmynd,unknown,unknown,none,1
"Ser Parmen Crane, The Purple",male,alive,Ser,Parmen,Crane,unknown,The Purple,1
"Ser Emmon Cuy, The Yellow",male,dead,Ser,Emmon,Cuy,unknown,The Yellow,1
Ser Gawen Wylde,male,dead,Ser,Gawen,Wylde,unknown,none,1
Lord Alester Florent,male,dead,Lord / Lady,Alester,Florent,unknown,none,1
Stygg,male,dead,Civilian,Stygg,unknown,unknown,none,1
Werlag,male,dead,Civilian,Werlag,unknown,unknown,none,1
Tymor,male,dead,Civilian,Tymor,unknown,unknown,none,1
Urzen,male,dead,Civilian,Urzen,unknown,unknown,none,1
"Lorren, Black Lorren",male,dead,Civilian,Lorren,unknown,unknown,Black Lorren,1
Gevin Harlaw,male,alive,Civilian,Gevin,Harlaw,unknown,none,1
"Maron Botley, Old Botley/Fishwhiskers",male,alive,Civilian,Maron,Botley,unknown,Old Botley/Fishwhiskers,1
Todric,male,dead,Civilian,Todric,unknown,unknown,none,1
"Andrik, The Unsmiling",male,alive,Civilian,Andrik,unknown,unknown,The Unsmiling,1
Lord Dunstan Drumm,male,alive,Lord / Lady,Dunstan,Drumm,unknown,none,1
Lucan,male,dead,Civilian,Lucan,unknown,unknown,none,1
Ser Lyonel,male,dead,Ser,Lyonel,unknown,unknown,none,1
Tuffleberry,male,dead,Civilian,Tuffleberry,unknown,unknown,none,1
"Rymund, The Rhymer",male,alive,Civilian,Rymund,unknown,unknown,The Rhymer,1
Enger,male,alive,Civilian,Enger,unknown,unknown,none,1
Delp,male,dead,Civilian,Delp,unknown,unknown,none,1
"Lew, Long Lew",male,alive,Civilian,Lew,unknown,unknown,Long Lew,1
Poul Pemford,male,dead,Civilian,Poul,Pemford,unknown,none,1
Myles,male,dead,Civilian,Myles,unknown,unknown,none,1
Mathos Mallarawan,male,alive,Civilian,Mathos,Mallarawan,unknown,none,1
Wendello Qar Deeth,male,alive,Civilian,Wendello,Qar Deeth,unknown,none,1
"Egon Emeros, The Exquisite",male,alive,Civilian,Egon,Emeros,unknown,The Exquisite,1
Ser Osmund Kettleblack,male,alive,Ser,Osmund,Kettleblack,unknown,none,1
Osney Kettleblack,male,alive,Civilian,Osney,Kettleblack,unknown,none,1
Osfryd Kettleblack,male,alive,Civilian,Osfryd,Kettleblack,unknown,none,1
Ser Bryan Fossoway,male,dead,Ser,Bryan,Fossoway,unknown,none,1
Lord Eldon Estermont,male,alive,Lord / Lady,Eldon,Estermont,unknown,none,1
Ser Erren Florent,male,alive,Ser,Erren,Florent,unknown,none,1
Lord Elwood Meadows,male,alive,Lord / Lady,Elwood,Meadows,unknown,none,1
Rattleshirt,male,dead,Civilian,Rattleshirt,unknown,unknown,none,1
"Harma, The Dogshead",female,dead,Civilian,Harma,unknown,unknown,The Dogshead,1
"Alfyn, Crowkiller",male,dead,Civilian,Alfyn,unknown,unknown,Crowkiller,1
The Weeping Man,male,alive,Civilian,unknown,unknown,unknown,The Weeping Man,1
Ebben,male,dead,Civilian,Ebben,unknown,unknown,none,1
"Symon, Silver Tongue",male,dead,Civilian,Symon,unknown,unknown,Silver Tongue,1
Maester Kym,male,dead,Maester,Kym,unknown,unknown,none,1
Lord Deremond,male,dead,Lord / Lady,unknown,Deremond,unknown,none,1
"Mebble, Pinkeye",male,dead,Civilian,Mebble,unknown,unknown,Pinkeye,1
Ser Aenys Frey,male,dead,Ser,Aenys,Frey,unknown,none,1
Ser Cadwyn,male,alive,Ser,Cadwyn,unknown,unknown,none,1
"Ben, Blackthumb",male,alive,Civilian,Ben,unknown,unknown,Blackthumb,1
"Shagwell, The Fool",male,dead,Civilian,Shagwell,unknown,unknown,The Fool,1
Holger,male,dead,Civilian,Holger,unknown,unknown,none,1
Wisdom Pollitor,male,dead,Wisdom,Pollitor,unknown,unknown,none,1
Drennan,male,dead,Civilian,Drennan,unknown,unknown,none,1
Squint,male,dead,Civilian,Squint,unknown,unknown,none,1
Aggar,male,dead,Civilian,Aggar,unknown,unknown,none,1
"Gynir, Rednose",male,dead,Civilian,Gynir,unknown,unknown,Rednose,1
"Dalbridge, Squire Dalbridge",male,dead,Civilian,Dalbridge,unknown,unknown,Squire Dalbridge,1
Stonesnake,male,dead,Civilian,Stonesnake,unknown,unknown,none,1
Ygritte,female,dead,Civilian,Ygritte,unknown,unknown,none,1
"Lord Brandon Stark, The Daughterless",male,dead,Lord / Lady,Brandon,Stark,unknown,The Daughterless,1
Jeffory Mallister,male,dead,Civilian,Jeffory,Mallister,unknown,none,1
Kyle Royce,male,dead,Civilian,Kyle,Royce,unknown,none,1
Elbert Arryn,male,dead,Civilian,Elbert,Arryn,unknown,none,1
Kromm,male,dead,Civilian,Kromm,unknown,unknown,none,1
Cadwyl,male,dead,Civilian,Cadwyl,unknown,unknown,none,1
Ser Imry Florent,male,dead,Ser,Imry,Florent,unknown,none,1
Ser Arneld,male,dead,Ser,Arneld,unknown,unknown,none,1
"Urrathon, Night-walker",male,dead,Civilian,Urrathon,unknown,unknown,Night-walker,1
"Sybassion, Eater of Eyes",male,alive,Civilian,Sybassion,unknown,unknown,Eater of Eyes,1
"Belwas, Strong Belwas",male,alive,Civilian,Belwas,unknown,unknown,Strong Belwas,1
"Walton, Steelshanks",male,alive,Civilian,Walton,unknown,unknown,Steelshanks,1
Septon Utt,male,dead,Septon,Utt,unknown,unknown,none,1
Qyburn,male,alive,Civilian,Qyburn,unknown,unknown,none,1
"Urswyck, Faithful Urswyck",male,dead,Civilian,Urswyck,unknown,unknown,Faithful Urswyck,1
Ser Harys Haigh,male,alive,Ser,Harys,Haigh,unknown,none,1
Ser Philip Foote,male,alive,Ser,Philip,Foote,unknown,none,1
Ser Edwyd Fossoway,male,dead,Ser,Edwyd,Fossoway,unknown,none,1
Willit,male,alive,Civilian,Willit,unknown,unknown,none,1
"Josmyn Peckledon, Peck",male,alive,Civilian,Josmyn,Peckledon,unknown,Peck,1
"Ser Bonifer Hasty, The Good",male,alive,Ser,Bonifer,Hasty,unknown,The Good,1
"Ser Dermot, Of the Rainwood",male,alive,Ser,Dermot,unknown,unknown,Of the Rainwood,1
"Ser Timon, The Scrapesword",male,alive,Ser,Timon,unknown,unknown,The Scrapesword,1
